member,pub_year,cnt_coauthors_inside_journal,cnt_coauthors_outside_journal,cnt_coauthor_diff
Steve Marschner,2018,26,0,26
Swaminathan Sundararaman,2018,23,5,18
Franco Niccolucci,2017,20,3,17
Achille Felicetti,2017,19,2,17
Hao (Richard) Zhang,2016,24,7,17
Paola Ronzino,2017,19,4,15
Thiemo Voigt,2013,17,2,15
Hans Gellersen,2005,15,0,15
Steve Marschner,2015,17,3,14
Steve Marschner,2012,20,6,14
Kavita Bala,2013,13,0,13
Steve Marschner,2020,16,3,13
Hao (Richard) Zhang,2014,13,0,13
Steve Marschner,2013,13,0,13
Tarek F. Abdelzaher,2009,12,0,12
Jan Kautz,2011,12,0,12
Gang Zhou,2006,12,0,12
Hugues Hoppe,2004,12,0,12
Carlo Meghini,2017,19,8,11
Cormac J. Sreenan,2013,17,6,11
Steve Benford,2000,11,0,11
Steve Marschner,2019,10,0,10
John A. Stankovic,2009,12,2,10
Roberto Scopigno,2017,19,9,10
Steve Benford,2015,17,7,10
Hugues Hoppe,2011,10,0,10
Wojciech Jarosz,2008,12,2,10
Hugues Hoppe,2015,10,0,10
Steve Benford,2009,10,0,10
Steve Marschner,2005,9,0,9
Gordon Wetzstein,2015,9,0,9
Niki Trigoni,2012,9,0,9
Kavita Bala,2010,9,0,9
Rahul Narain,2018,9,0,9
Xiaoye Sherry Li,2002,12,3,9
Wenzel Jakob,2020,16,7,9
Omprakash Gnawali,2010,9,0,9
Vasily Tarasov,2018,9,0,9
Steve Marschner,2017,9,0,9
Florence Bertails-Descoubes,2018,9,0,9
Alessandro Papadopoulos,2017,17,8,9
Youjip Won,2018,11,2,9
Julie Dorsey,2012,8,0,8
Katherine Isbister,2020,9,1,8
Steve Benford,2005,15,7,8
Wojciech Jarosz,2013,11,3,8
Emily Whiting,2014,8,0,8
Amir Vaxman,2017,8,0,8
Wojciech Jarosz,2018,15,7,8
Wojciech Jarosz,2014,13,5,8
Jan Kautz,2008,9,1,8
Hao (Richard) Zhang,2013,20,13,7
Steve Benford,2020,15,8,7
Julie Dorsey,2007,7,0,7
Hao (Richard) Zhang,2012,17,10,7
Carman Neustaedter,2015,7,0,7
Sara Perry,2020,7,0,7
Rahul Narain,2012,7,0,7
Wojciech Jarosz,2012,15,8,7
Abhijeet Ghosh,2004,7,0,7
Geoff Kuenning,2017,7,0,7
Gala Yadgar,2021,7,0,7
Fred Douglis,2015,7,0,7
Hugues Hoppe,2008,7,0,7
Hao (Richard) Zhang,2018,38,31,7
Wojciech Jarosz,2011,13,6,7
Ashvin Goel,2020,7,0,7
Lorenzo Alvisi,2009,7,0,7
Erez Zadok,2017,6,0,6
Steve Marschner,2010,6,0,6
Erez Zadok,2018,6,0,6
Julie Dorsey,2011,9,3,6
Katerina Mania,2010,9,3,6
Hao (Richard) Zhang,2017,22,16,6
Alessandro Papadopoulos,2012,6,0,6
Pinar Yolum,2018,6,0,6
Amir Vaxman,2015,9,3,6
Jaime Teevan,2013,6,0,6
Geoff Kuenning,2018,6,0,6
Hugues Hoppe,2018,6,0,6
Christian Wallraven,2007,6,0,6
Gala Yadgar,2018,9,3,6
Ashvin Goel,2012,6,0,6
Abhijeet Ghosh,2015,6,0,6
Sule Ozev,2018,10,4,6
Swaminathan Sundararaman,2017,6,0,6
Florence Bertails-Descoubes,2021,6,0,6
Heinrich H. Bülthoff,2005,6,0,6
Steve Marschner,2016,8,2,6
Gregg Rothermel,2001,11,5,6
Heinrich H. Bülthoff,2011,8,2,6
Robert J. K. Jacob,2015,8,2,6
Cristina Silvano,2020,5,0,5
Kavita Bala,2005,5,0,5
Steve Marschner,2011,5,0,5
Alex Groce,2015,5,0,5
Julie Dorsey,2016,8,3,5
Sophie Jörg,2009,5,0,5
Guoliang Xing,2005,5,0,5
Christos Alexopoulos,2005,5,0,5
