dblp_key,p_members,x_min,x_stddev,x_max,x_avg,median,member_name,cnt_articles_written_in_book,mad,ratio
conf/miccai/2015patchmi,35,0,1.3578282214593997,7,0.45714285714285714286,0.0,Dinggang Shen,7,0.0,7.0
conf/gd/2010,24,0,1.1601786469133205,4,0.95833333333333333333,0.5,David Eppstein,4,0.5,7.0
conf/sefm/2012s,85,0,0.77387308508613238327,6,0.25882352941176470588,0.0,Antonio Cerone,6,0.0,6.0
conf/lpnmr/2015,51,0,1.0259381168510326,6,0.45098039215686274510,0.0,Torsten Schaub,6,0.0,6.0
conf/spire/2008,39,0,0.81235400432328821731,5,0.15384615384615384615,0.0,Gonzalo Navarro,5,0.0,5.0
conf/robocup/2011,167,0,0.41445980272104520216,5,0.05389221556886227545,0.0,Sven Behnke,5,0.0,5.0
conf/cpaior/2016,30,0,1.0063019815944513,5,0.43333333333333333333,0.0,Peter J. Stuckey,5,0.0,5.0
conf/gd/2010,24,0,1.1601786469133205,4,0.95833333333333333333,0.5,Michael T. Goodrich,3,0.5,5.0
conf/ecir/2015mrdm,19,0,1.2565617248750865,5,0.63157894736842105263,0.0,Henning Müller,5,0.0,5.0
conf/miccai/2015mcv,35,0,0.87735277919413001968,5,0.22857142857142857143,0.0,Dinggang Shen,5,0.0,5.0
conf/ppsn/2010-1,172,0,0.49628019268127437316,5,0.10465116279069767442,0.0,Benjamin Doerr,5,0.0,5.0
conf/gd/2012,23,0,0.94094393779392948755,4,0.39130434782608695652,0.0,Stephen G. Kobourov,4,0.0,4.0
conf/apweb/2014,90,0,0.42163702135578391094,4,0.04444444444444444444,0.0,Zhiyong Peng,4,0.0,4.0
conf/er/2018,175,0,0.36694272336860575729,4,0.05714285714285714286,0.0,Giancarlo Guizzardi,4,0.0,4.0
conf/miccai/2016patchmi,43,0,0.63924789694933907066,4,0.13953488372093023256,0.0,Dinggang Shen,4,0.0,4.0
conf/lpnmr/2007,30,0,1.2015315896469556,4,0.73333333333333333333,0.0,Hans Tompits,4,0.0,4.0
conf/cp/2018,58,0,0.58644705233342473799,4,0.15517241379310344828,0.0,Peter J. Stuckey,4,0.0,4.0
conf/ppsn/2018-2,200,0,0.40337769873803878884,4,0.09000000000000000000,0.0,Timo Kötzing,4,0.0,4.0
conf/spire/2003,43,0,0.74113438537633236123,4,0.30232558139534883721,0.0,Gonzalo Navarro,4,0.0,4.0
conf/lpnmr/2007,30,0,1.2015315896469556,4,0.73333333333333333333,0.0,Torsten Schaub,4,0.0,4.0
conf/miccai/2014mcv,38,0,0.71411296427582060178,4,0.23684210526315789474,0.0,Dinggang Shen,4,0.0,4.0
conf/profes/2017,82,0,0.56920892082214504825,4,0.14634146341463414634,0.0,Kurt Schneider,4,0.0,4.0
conf/icwe/2021,90,0,0.48908179147414652991,4,0.08888888888888888889,0.0,Martin Gaedke,4,0.0,4.0
conf/lpnmr/2011,48,0,0.78097956312197081535,4,0.33333333333333333333,0.0,Michael Fink,4,0.0,4.0
conf/gd/2014,24,0,0.92372120770566775555,4,0.37500000000000000000,0.0,David Eppstein,4,0.0,4.0
conf/spire/2016,41,0,0.71482557995366783109,4,0.19512195121951219512,0.0,Travis Gagie,4,0.0,4.0
conf/spire/2012,41,0,0.76747924417791419450,4,0.24390243902439024390,0.0,Gonzalo Navarro,4,0.0,4.0
conf/miccai/2020-7,82,0,0.57499852715729831739,4,0.12195121951219512195,0.0,Gang Li,4,0.0,4.0
conf/cp/2020,110,0,0.57766317661882441123,4,0.15454545454545454545,0.0,Johannes K. Fichte,4,0.0,4.0
conf/eurogp/2008,70,0,0.57194593556481344301,4,0.14285714285714285714,0.0,Riccardo Poli,4,0.0,4.0
conf/dna/2017,33,0,0.93338744431887512514,4,0.39393939393939393939,0.0,Chris Thachuk,4,0.0,4.0
conf/iccS/2018-3,314,0,0.26319205843707797731,4,0.03184713375796178344,0.0,Shuyu Sun,4,0.0,4.0
conf/cpaior/2008,46,0,0.71289028636002148150,4,0.26086956521739130435,0.0,Pascal Van Hentenryck,4,0.0,4.0
conf/miccai/2011stacom,11,0,1.4459976109624424,4,0.90909090909090909091,0.0,Nicholas Ayache,4,0.0,4.0
conf/miccai/2019glmi,25,0,0.91651513899116800132,4,0.44000000000000000000,0.0,Mingxia Liu,4,0.0,4.0
conf/miccai/2016mlmi,80,0,0.63594840965823276681,4,0.22500000000000000000,0.0,Guorong Wu,4,0.0,4.0
conf/tap/2014,29,0,0.78627387148831397174,4,0.24137931034482758621,0.0,Nikolai Kosmatov,4,0.0,4.0
conf/avi/2020bda,14,0,1.5495479666983211,5,1.3571428571428571,1.0,Matthias L. Hemmje,5,1.0,4.0
