dblp_object_id,dblp_object_type,dblp_object_key,dblp_publtype,dblp_doi
7894682,article,journals/ijicc/FengWF18,NULL,10.1108/IJICC-06-2017-0066
7894627,article,journals/ijicc/FengWF20,NULL,10.1108/IJICC-06-2017-0066
7838217,article,journals/intr/GoumagiasWDC21,NULL,10.1108/INTR-01-2020-0013
7838079,article,journals/intr/GoumagiasWDC21a,NULL,10.1108/INTR-01-2020-0013
7838250,article,journals/intr/MaZWZ21,NULL,10.1108/INTR-01-2020-0022
7838221,article,journals/intr/MaZWZ21a,NULL,10.1108/INTR-01-2020-0022
7838335,article,journals/intr/YesilogluMC21a,NULL,10.1108/INTR-01-2020-0038
7838291,article,journals/intr/YesilogluMC21,NULL,10.1108/INTR-01-2020-0038
7838591,article,journals/intr/GuoHLM21a,NULL,10.1108/INTR-02-2020-0078
7838201,article,journals/intr/GuoHLM21,NULL,10.1108/INTR-02-2020-0078
7838587,article,journals/intr/TandonDM21,NULL,10.1108/INTR-02-2020-0103
7837690,article,journals/intr/TandonDM21a,NULL,10.1108/INTR-02-2020-0103
7838552,article,journals/intr/LaatoIPL21a,NULL,10.1108/INTR-03-2020-0158
7837904,article,journals/intr/LaatoIPL21,NULL,10.1108/INTR-03-2020-0158
7838620,article,journals/intr/KuoHH21,NULL,10.1108/INTR-04-2020-0231
7838518,article,journals/intr/KuoHH21a,NULL,10.1108/INTR-04-2020-0231
7838353,article,journals/intr/LeeSLC21a,NULL,10.1108/INTR-06-2020-0327
7838011,article,journals/intr/LeeSLC21,NULL,10.1108/INTR-06-2020-0327
7838523,article,journals/intr/WeiYL21a,NULL,10.1108/INTR-07-2020-0407
7837833,article,journals/intr/WeiYL21,NULL,10.1108/INTR-07-2020-0407
7838488,article,journals/intr/WangZ21,NULL,10.1108/INTR-08-2019-0313
7838214,article,journals/intr/WangZ21a,NULL,10.1108/INTR-08-2019-0313
7838665,article,journals/intr/KimSJ21a,NULL,10.1108/INTR-08-2019-0328
7837760,article,journals/intr/KimSJ21,NULL,10.1108/INTR-08-2019-0328
7838609,article,journals/intr/HuZLGH21a,NULL,10.1108/INTR-09-2019-0368
7838563,article,journals/intr/HuZLGH21,NULL,10.1108/INTR-09-2019-0368
7838770,article,journals/intr/MattkeMWT21a,NULL,10.1108/INTR-09-2020-0529
7838372,article,journals/intr/MattkeMWT21,NULL,10.1108/INTR-09-2020-0529
7838365,article,journals/intr/Suarez-VazquezS21,NULL,10.1108/INTR-10-2019-0412
7838088,article,journals/intr/Suarez-VazquezS21a,NULL,10.1108/INTR-10-2019-0412
7838647,article,journals/intr/KwakLMLKB21,NULL,10.1108/INTR-10-2020-0581
7838029,article,journals/intr/KwakLMLKB21a,NULL,10.1108/INTR-10-2020-0581
7838577,article,journals/intr/TalukderLIB21a,NULL,10.1108/INTR-10-2020-0586
7838025,article,journals/intr/TalukderLIB21,NULL,10.1108/INTR-10-2020-0586
7838259,article,journals/intr/PitafiR21,NULL,10.1108/INTR-11-2019-0469
7838232,article,journals/intr/PitafiR21a,NULL,10.1108/INTR-11-2019-0469
7838182,article,journals/intr/YangG21,NULL,10.1108/INTR-11-2020-0622
7838094,article,journals/intr/YangG21a,NULL,10.1108/INTR-11-2020-0622
7838597,article,journals/intr/LeeCK21a,NULL,10.1108/INTR-12-2019-0507
7838162,article,journals/intr/LeeCK21,NULL,10.1108/INTR-12-2019-0507
6296657,article,journals/oir/Khatri21,NULL,10.1108/OIR-04-2020-0152
6296158,article,journals/oir/Khatri21a,NULL,10.1108/OIR-04-2020-0152
6296188,article,journals/oir/SynY21,NULL,10.1108/OIR-05-2020-0177
6296130,article,journals/oir/SynY21a,NULL,10.1108/OIR-05-2020-0177
6296324,article,journals/oir/HuWD21,NULL,10.1108/OIR-05-2020-0188
6295837,article,journals/oir/HuWD21a,NULL,10.1108/OIR-05-2020-0188
6296679,article,journals/oir/LnenickaMVLKH21,NULL,10.1108/OIR-05-2020-0204
6296433,article,journals/oir/LnenickaMVLKH21a,NULL,10.1108/OIR-05-2020-0204
6296639,article,journals/oir/ChengLTC21a,NULL,10.1108/OIR-06-2020-0214
6295935,article,journals/oir/ChengLTC21,NULL,10.1108/OIR-06-2020-0214
6296832,article,journals/oir/Silva21a,NULL,10.1108/OIR-06-2020-0219
6296228,article,journals/oir/Silva21b,NULL,10.1108/OIR-06-2020-0219
6296972,article,journals/oir/HouHZZW21,NULL,10.1108/OIR-06-2020-0255
6296661,article,journals/oir/HouHZZW21a,NULL,10.1108/OIR-06-2020-0255
6296399,article,journals/oir/LinG21a,NULL,10.1108/OIR-08-2020-0329
6295940,article,journals/oir/LinG21,NULL,10.1108/OIR-08-2020-0329
6296510,article,journals/oir/OcalXP21,NULL,10.1108/OIR-08-2020-0330
6296244,article,journals/oir/OcalXP21a,NULL,10.1108/OIR-08-2020-0330
6296690,article,journals/oir/BarakatDT21,NULL,10.1108/OIR-08-2020-0333
6296344,article,journals/oir/BarakatDT21a,NULL,10.1108/OIR-08-2020-0333
6296765,article,journals/oir/LeongTY21,NULL,10.1108/OIR-08-2020-0358
6296564,article,journals/oir/LeongTY21a,NULL,10.1108/OIR-08-2020-0358
6296898,article,journals/oir/ShenLPL21,NULL,10.1108/OIR-08-2020-0374
6296815,article,journals/oir/ShenLPL21a,NULL,10.1108/OIR-08-2020-0374
6296611,article,journals/oir/Kim21,NULL,10.1108/OIR-09-2020-0431
6296556,article,journals/oir/Kim21a,NULL,10.1108/OIR-09-2020-0431
6297020,article,journals/oir/UtuluN21,NULL,10.1108/OIR-10-2018-0319
6296663,article,journals/oir/UtuluN21a,NULL,10.1108/OIR-10-2018-0319
6296710,article,journals/oir/Borah21a,NULL,10.1108/OIR-10-2020-0443
6296017,article,journals/oir/Borah21,NULL,10.1108/OIR-10-2020-0443
6296973,article,journals/oir/LinWWL21a,NULL,10.1108/OIR-10-2020-0466
6296141,article,journals/oir/LinWWL21,NULL,10.1108/OIR-10-2020-0466
6296533,article,journals/oir/RezaeiH21a,NULL,10.1108/OIR-11-2019-0343
6296358,article,journals/oir/RezaeiH21,NULL,10.1108/OIR-11-2019-0343
6296720,article,journals/oir/Silva21c,NULL,10.1108/OIR-11-2019-0352
6296299,article,journals/oir/Silva21d,NULL,10.1108/OIR-11-2019-0352
6296785,article,journals/oir/NamdarianAR21a,NULL,10.1108/OIR-11-2020-0493
6296227,article,journals/oir/NamdarianAR21,NULL,10.1108/OIR-11-2020-0493
6296782,article,journals/oir/Mansour21a,NULL,10.1108/OIR-11-2020-0494
6295886,article,journals/oir/Mansour21,NULL,10.1108/OIR-11-2020-0494
7750677,article,journals/bmcbi/LopesCV19a,NULL,10.1186/s12859-019-2937-8
7746630,article,journals/bmcbi/LopesCV19,NULL,10.1186/s12859-019-2937-8
7091145,article,journals/cr/Pfeiffer21o,NULL,10.9785/cr-2021-370322
7091028,article,journals/cr/Pfeiffer21h,NULL,10.9785/cr-2021-370322
