dblp_key,median,member_name,cnt_author_cited_in_book,mad,ratio
conf/mascots/2020s,3.5,Erol Gelenbe,132,1.5,87.0
conf/wollic/2019,1.5,Alessandra Palmigiano,21,0.5,41.0
conf/tap/2018,1.5,Nikolai Kosmatov,20,0.5,39.0
conf/cardis/2014,6.0,François-Xavier Standaert,35,1.0,34.0
conf/spire/2013,2.0,Gonzalo Navarro,34,1.0,33.0
conf/IEEEares/2014cd,1.5,Andreas Holzinger,17,0.5,33.0
conf/icmt/2015,1.5,Frédéric Jouault,16,0.5,31.0
conf/spire/2012,2.0,Gonzalo Navarro,32,1.0,31.0
conf/sle/2009,1.5,Eelco Visser,16,0.5,31.0
conf/crypto/2020-2,2.0,Chris Peikert,31,1.0,30.0
conf/mdai/2019,1.5,Radko Mesiar,15,0.5,29.0
conf/spire/2014,3.0,Gonzalo Navarro,29,1.0,28.0
conf/wollic/2017,3.0,Alessandra Palmigiano,28,1.0,27.0
conf/dasfaa/2010-2,1.5,Yufei Tao,14,0.5,27.0
conf/spire/2009,2.0,Gonzalo Navarro,28,1.0,27.0
conf/miccai/2015mlmi,1.5,Daniel Rueckert,13,0.5,25.0
conf/ispec/2007,1.5,Hovav Shacham,13,0.5,25.0
conf/atal/2012cave,1.5,Cyril Brom,13,0.5,25.0
conf/opodis/2009,2.0,Rachid Guerraoui,24,1.0,23.0
conf/tacas/2020-1,1.5,Alessandro Cimatti,12,0.5,23.0
conf/eurogp/2018,2.0,Leonardo Vanneschi,24,1.0,23.0
conf/miccai/2012-2,1.5,Xavier Pennec,12,0.5,23.0
conf/coordination/2019,3.0,Danilo Pianini,23,1.0,22.0
conf/spire/2010,2.0,Gonzalo Navarro,23,1.0,22.0
conf/eurogp/2018,2.0,Mauro Castelli,23,1.0,22.0
conf/cp/2020,2.0,Peter J. Stuckey,22,1.0,21.0
conf/fase/2020,1.5,Gabriele Taentzer,11,0.5,21.0
conf/wia/2019,2.0,Galina Jirásková,11,0.5,21.0
conf/tcc/2020-1,2.0,Daniel Wichs,22,1.0,21.0
conf/miccai/2014mcv,1.5,Daniel Rueckert,11,0.5,21.0
conf/sas/2008,1.5,Radhia Cousot,11,0.5,21.0
conf/cpm/2015,3.0,Gonzalo Navarro,22,1.0,21.0
conf/eurogp/2018,2.0,Sara Silva,22,1.0,21.0
conf/waoa/2012,2.0,Kirk Pruhs,21,1.0,20.0
conf/iccbr/2018,2.0,David Leake,20,1.0,19.0
conf/wdag/2006,1.5,Michel Raynal,10,0.5,19.0
conf/lopstr/2016,2.0,Sergio Antoy,10,0.5,19.0
conf/dasfaa/2010-2,1.5,Kian-Lee Tan,10,0.5,19.0
conf/recomb/2014,1.5,Sorin Istrail,10,0.5,19.0
conf/cade/2015,1.5,Aart Middeldorp,10,0.5,19.0
conf/miccai/2014mcv,1.5,Dinggang Shen,10,0.5,19.0
conf/sat/2012,3.0,Armin Biere,19,1.0,18.0
conf/cav/2020-2,1.0,Bernd Finkbeiner,18,0.0,18.0
conf/sas/2016,2.0,Patrick Cousot,19,1.0,18.0
conf/er/2019,1.0,Giancarlo Guizzardi,18,0.0,18.0
conf/wea/2010,2.0,Dorothea Wagner,19,1.0,18.0
conf/ppsn/2012-2,2.0,Kalyanmoy Deb,18,1.0,17.0
conf/lpnmr/2007,2.0,Thomas Eiter,18,1.0,17.0
conf/crypto/2020-2,2.0,Vadim Lyubashevsky,18,1.0,17.0
conf/cardis/2015,3.0,François-Xavier Standaert,18,1.0,17.0
