url,doi
https://www.wikidata.org/entity/Q29030829,10.1145/321033.321034
https://www.wikidata.org/entity/Q29039874,10.1145/42282.42283
https://www.wikidata.org/entity/Q29041225,10.1145/358549.358563
https://www.wikidata.org/entity/Q32061744,10.1145/362384.362685
https://www.wikidata.org/entity/Q36655252,10.1145/219717.219748
https://www.wikidata.org/entity/Q55879022,10.1145/321738.321743
https://www.wikidata.org/entity/Q55881879,10.1145/361011.361073
https://www.wikidata.org/entity/Q55934414,10.1145/321921.321925
https://www.wikidata.org/entity/Q55953609,10.1145/218380.218498
https://www.wikidata.org/entity/Q56057678,10.1515/PIKO.1990.13.4.205
https://www.wikidata.org/entity/Q56069876,10.1045/NOVEMBER98-HALPERN
https://www.wikidata.org/entity/Q56390464,10.1145/32206.32212
https://www.wikidata.org/entity/Q56536206,10.1145/2133806.2133826
https://www.wikidata.org/entity/Q56569867,10.1145/1743546.1743558
https://www.wikidata.org/entity/Q56575869,10.1145/358790.358797
https://www.wikidata.org/entity/Q56638869,10.1145/361002.361007
https://www.wikidata.org/entity/Q60174434,10.1145/1400097.1400105
https://www.wikidata.org/entity/Q98283466,10.1145/2494558
