acm_journal,dblp_abbreviation
ACM Transactions on Algorithms,talg
"ACM Transactions on Multimedia Computing, Communications, and Applications",tomm
"ACM Transactions on Multimedia Computing, Communications, and Applications",tomccap
ACM Transactions on Internet Technology,toit
ACM Transactions on Computer Systems,tocs
ACM Transactions on Mathematical Software,toms
ACM Transactions on Computer-Human Interaction,tochi
ACM Transactions on Design Automation of Electronic Systems,todaes
ACM Transactions on Architecture and Code Optimization,taco
ACM Transactions on Computation Theory,toct
ACM Transactions on Storage,tos
ACM Transactions on Graphics,tog
ACM Transactions on Computational Logic,tocl
Journal of the ACM,jacm
ACM Transactions on Programming Languages and Systems,toplas
ACM Transactions on Software Engineering and Methodology,tosem
ACM Transactions on the Web,tweb
ACM Transactions on Modeling and Computer Simulation,tomacs
Journal on Computing and Cultural Heritage,jocch
ACM Transactions on Information Systems,tois
ACM Transactions on Applied Perception,tap
Journal of Data and Information Quality,jdiq
ACM Transactions on Autonomous and Adaptive Systems,taas
ACM Transactions on Database Systems,tods
ACM Transactions on Computing Education,toce
ACM Transactions on Sensor Networks,tosn
ACM Transactions on Spatial Algorithms and System,tsas
